,Method,Description
,add_cookie,Adds a cookie to your current session.
,back,Goes one step backward in the browser history.
,close,Closes the current window.
,create_web_element,Creates a web element with the specified element_id.
,delete_all_cookies,Delete all cookies in the scope of the session.
,delete_cookie,Deletes a single cookie with the given name.
,execute_async_script,Asynchronously Executes JavaScript in the current window/frame.
,execute_script,Synchronously Executes JavaScript in the current window/frame.
,forward,Goes one step forward in the browser history.
,fullscreen_window,Invokes the window manager-specific ‘full screen’ operation
,get_cookie,"Get a single cookie by name. Returns the cookie if found, None if not."
,get_cookies,"Returns a set of dictionaries, corresponding to cookies visible in the current session."
,get_log,Gets the log for a given log type
,get_screenshot_as_base64,Gets the screenshot of the current window as a base64 encoded string which is useful in embedded images in HTML.
,get_screenshot_as_file,Saves a screenshot of the current window to a PNG image file.
,get_screenshot_as_png,Gets the screenshot of the current window as a binary data.
,get_window_position,"Gets the x, y position of the current window."
,get_window_rect,"Gets the x, y coordinates of the window as well as height and width of the current window."
,get_window_size,Gets the width and height of the current window.
,implicitly_wait,"Sets a sticky timeout to implicitly wait for an element to be found,"
,maximize_window,Maximizes the current window that webdriver is using
,minimize_window,Invokes the window manager-specific ‘minimize’ operation
,quit,Quits the driver and closes every associated window.
,refresh,Refreshes the current page.
,set_page_load_timeout,Set the amount of time to wait for a page load to complete before throwing an error.
,set_script_timeout,Set the amount of time that the script should wait during an execute_async_script call before throwing an error.
,set_window_position,"Sets the x, y position of the current window. (window.moveTo)"
,set_window_rect,"Sets the x, y coordinates of the window as well as height and width of the current window."
,current_url,Gets the URL of the current page.
,current_window_handle,Returns the handle of the current window.
,page_source,Gets the source of the current page.
,title,Returns the title of the current page.
